nombre,poblacion,superficie,continente
Argentina,45376763,2780400,America
Japon,125800000,377975,Asia
Brasil,213993437,8515767,America
Alemania,83149300,357022,Europa
Nigeria,206139589,923768,Africa
Australia,25499884,7692024,Oceania
Egipto,102334404,1002450,Africa
Canada,37742154,9984670,America
China,1439323776,9596961,Asia
Francia,65273511,551695,Europa
India,1380004385,3287263,Asia
Sudafrica,59308690,1221037,Africa
Mexico,128932753,1964375,America
Rusia,145934462,17098246,Europa
Reino Unido,67886011,243610,Europa
Italia,59554023,301340,Europa
Espana,47351567,505990,Europa
Colombia,50882891,1141748,America
Peru,32971854,1285216,America
Chile,19116201,756102,America
Marruecos,36910560,446550,Africa
Kenia,53771296,580367,Africa
Etiopia,114963588,1104300,Africa
Arabia Saudita,34813871,2149690,Asia
Tailandia,69799978,513120,Asia
Vietnam,97338579,331212,Asia
Corea del Sur,51269185,100210,Asia
Indonesia,273523615,1904569,Asia
Nueva Zelanda,4822233,268838,Oceania
Republica Democratica del Congo,89561403,2344858,Africa
